name,thumbnail
BRAVIA 9,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_UP_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
BRAVIA 8,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_UM_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
BRAVIA 7,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_UH_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
BRAVIA 2 | S20,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_APL4_Deri_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
BRAVIA 3 | S30B,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_UE_Deri_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
A95L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_A95L_Primary-Image?$mediaCarouselSmall$&fmt=png-alpha
X95L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_X95L_Primary-Image?$mediaCarouselSmall$&fmt=png-alpha
A80L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_A80L_Primary-Image-1?$mediaCarouselSmall$&fmt=png-alpha
X90L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_X90L_Primary-Image-1?$mediaCarouselSmall$&fmt=png-alpha
BRAVIA 3,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_UE_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
X82L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_X82L_Primary-Image-1?$mediaCarouselSmall$&fmt=png-alpha
X80L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_X80L_Primary-Image?$mediaCarouselSmall$&fmt=png-alpha
BRAVIA 2 | S25,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_APL4_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
BRAVIA 2 | S25B,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_APL4_Deri_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
BRAVIA 2 | S20B,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_APL4_Deri_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
X75L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_X75L_Primary-Image-1?$mediaCarouselSmall$&fmt=png-alpha
X74L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_X74L_Primary-Image?$mediaCarouselSmall$&fmt=png-alpha
X70L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_X70L_Primary-Image?$mediaCarouselSmall$&fmt=png-alpha
X64L Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_X64L_Primary-Image?$mediaCarouselSmall$&fmt=png-alpha
W835 Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_APA4_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
W825 Series,https://sony.scene7.com/is/image/sonyglobalsolutions/TVFY23_APA4_Primary_image?$mediaCarouselSmall$&fmt=png-alpha
W830K/W880K Series,/image/ccbe548efa94995a9c034d96a4a6acbb?fmt=png-alpha&wid=660&hei=660
