name,price,rating,review_count,images,highlights,specification,features,sub_category,category
BC-ZD1,,,,"['https://www.sony.co.in/image/993f47892c0315f28affd68c37c0a5f9?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/db10621bdba13b49b9b61c4b62711b70?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/d6fd13d692b2358dc5e1a562d807f813?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None]",BC-ZD1,"['Terminal: USB Type-C® x 1 ', 'Dimensions (W x H x D): Approx. 84.5 x 29.2 x 70.0 mm (3.38 x 1.19 x 2.88) ', 'Weight: Approx. 149 g (5.3 oz) (not including battery) ', 'Charging time for two batteries: Approx. 155 minutes2 (full charge3) ']",[],Batteries & Chargers,Camera Accessories
NP-FW50,"Rs. 4,9901",4.5,6.0,['https://www.sony.co.in/image/acac9c3b31f3d74054937c62d5ec0bbf?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],NP-FW50 W-series Rechargeable Battery Pack,[],"[‘STAMINA super long battery life’, ‘Fast recharging time and more accurate and fast remaining capacity indication']",Batteries & Chargers,Camera Accessories
NP-FZ100,"Rs. 5,8901",5.0,9.0,"['https://www.sony.co.in/image/5e26ea767d1901228dff114550755ba1?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/f870a5cf31edf4f212a0ba6307d003b2?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/5e26ea767d1901228dff114550755ba1?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None]",Z-series Rechargeable Battery Pack,"['Dimensions (W × H × D): Approx. 38.7 x 22.7 x 51.7 mm (1.56 x 0.91 x 2.13) ', 'Weight: Approx. 83 g (3.0 oz) ', 'Capacity: 7.2 V/16.4 Wh (2,280 mAh) ', 'Compatibility information: Go to Support page']",[],Batteries & Chargers,Camera Accessories
BC-QZ1,"Rs. 6,7901",4.5,5.0,"['https://www.sony.co.in/image/15b7baa321662e4e6919c9ec9c4f451d?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/64e3c9ce2aad10ba1da3ec2f6a9a247a?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/15b7baa321662e4e6919c9ec9c4f451d?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None]",Battery Charger for NP-FZ100,"['Dimensions (W × H × D): Approx. 70 x 33 x 95 mm (2.88 x 1.31 x 3.75) ', 'Weight: Approx. 125 g (4.4 oz) ', 'Power: AC, 100–240 V, 50 Hz/60 Hz ', 'Charging time: Approx. 150 minutes ']",[],Batteries & Chargers,Camera Accessories
BC-TRV,"Rs. 3,9901",5.0,1.0,['https://www.sony.co.in/image/9e32670c325711cf6e163a5605936ce0?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],AC Adaptor/Charger,[],"[‘Compact, portable design takes up less space when you're travelling’, ‘Multi-voltage operation, ideal for worldwide travel (AC 100-240 V, 50 Hz / 60 Hz)’, ‘Charging status indicated by 3-step LED — takes the guesswork out of knowing how much power you've got available’, ‘Compatible with V / H / P battery series’]",Batteries & Chargers,Camera Accessories
BC-TRW,"Rs. 3,9901",5.0,4.0,"['https://www.sony.co.in/image/5f296a1ab4830793071075e02c91a5f2?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/3ef35de55af53b4aa7b178c2d94ff55a?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/b89bb9bf9203c52931936e848382e0cb?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None]",BC-TRW Battery Charger,"['Battery charger for W-series battery ', 'Charge via AC power supply ', 'Compatible with W-series battery cameras ', 'Check the power status level while charging ', 'Compatible with W Battery Series ']",[],Batteries & Chargers,Camera Accessories
NP-BN,,,,['https://www.sony.co.in/image/695e097c837ac8d2d1baf9f145ff72b8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],N-series Rechargeable Battery Pack,"['Dimensions (W x H x D): Approx. 35.5 x 4.9 x 40.8 mm (1 7/16 x 7/32 x 1 5/8) ', 'Weight: Approx. 15 g (0.5 oz) ', 'Capacity: 3.6 V / 2.2 Wh (600 mAh) ', 'Compatibility information: Go to Support Page']",[],Batteries & Chargers,Camera Accessories
BC-TRX,"Rs. 3,6901",4.5,4.0,"['https://www.sony.co.in/image/379bcf63e3654c5bc759eb3173ac09e8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/2c8f77fe7de5e12825d572343d014a46?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/379bcf63e3654c5bc759eb3173ac09e8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None]",BC-TRX Cyber-shot™ Battery Charger,[],[],Batteries & Chargers,Camera Accessories
DC-C1,,,,"['https://www.sony.co.in/image/339eeee6995b784eef4904ad71d0aa1e?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/efe1e6b97af09fdc02da110fb33f7553?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/72661e25f50965ba316ee4dcb1049f50?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None, None]",DC-C1,"['Dimensions (W x H x D): Approx. 52.0 mm x 70.6 mm x 32.0 mm (2.13 x 2.88 x 1.31) ', 'Weight: 184 g (7.0 oz) ']",[],Batteries & Chargers,Camera Accessories
NP-BX1,"Rs. 2,6901",4.5,6.0,"['https://www.sony.co.in/image/6f6b729299df77761450e21d0b36938f?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/17c659f0a67781305d249d273734dae7?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/6f6b729299df77761450e21d0b36938f?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None]",NP-BX1 X-Series Rechargeable Battery Pack,[],"['’Lithium ion Type X rechargeable battery’, ‘InfoLITHIUM™ function accurately displays power remaining (with compatible Cyber-shot™ camera)’, ‘Approx. capacity: 3.6 V/4.5 Wh (1,240 mAh)’, ‘Approx. dimensions (mm): H9.2 x W29.9 x D42.7’, ‘Approx. Weight: 25 g']",Batteries & Chargers,Camera Accessories
