name,price,rating,review_count,images,highlights,description,specification,features,sub_category,category
SELP18200,"Rs. 105,9901",3.5,2.0,"['https://www.sony.co.in/image/f14a508331fea18154fdc1060222617d?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/2e5e0839948cddbcabcc3f4de13fb4fc?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/2544c66a913f0b94bd91bbde59e2c22a?fmt=png-alpha&wid=676&hei=400', None, None]",E PZ 18-200 mm F3.5-6.3 OSS,https://www.sony.co.in/electronics/camera-lenses/selp18200/buy,"{'Minimum focus distance': '0.3 (Wide)–0.5 m (Tele) (0.99 [Wide])–1.64 ft [Tele])', 'Maximum Magnification ratio (x)': '0.35x', 'Filter Diameter (mm)': '67 mm', 'Weight': '649 g (22.9 oz)'}","['Powered zoom, ideal for movies and documentaries ', 'Shoot from distance with 11x magnification ', 'Use zoom controls on your camera or on the lens itself ', 'Optical SteadyShot™ with Active Mode for filming on the go ', 'APS-C camera equivalent focal length: 27-300 mm ']",E-mount,Lenses
SELP16502,"Rs. 29,9901",,,"['https://www.sony.co.in/image/6910487bc34887efc6a1929d8b7d3a37?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/5f0c09a29ad5ae933874f230391f1648?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/777ea976a478f5cc1a6ae4dc83774cbf?fmt=png-alpha&wid=676&hei=400', None, None, None]",E PZ 16–50 mm F3.5–5.6 OSS II,https://www.sony.co.in/electronics/interchangeable-lenses/selp16502/buy,"{'Minimum focus distance': '0.25(W)–0.3(T) m (0.82(W)–0.99(T) ft)', 'Maximum Magnification ratio (x)': '0.215', 'Filter Diameter (mm)': '40.5', 'Weight': '107\xa0g (3.8\xa0oz)'}","['Compact, lightweight, retracting 16–50 mm (35 mm full-frame equivalent: 24–75 mm) APS-C format power zoom lens ', 'High resolution, seven-blade circular aperture for beautiful bokeh, and versatile close-up performance ', 'Breathing compensation, autofocus while zooming and optical image stabilisation ', 'Refined AF with reliable tracking that is fast, precise and quiet ', 'Combined zoom/focus ring and separate zoom lever for flexible control ']",E-mount,Lenses
SEL100400GM,"Rs. 229,4901",5.0,87.0,[],Super telephoto Zoom 100-400mm G Master lens,,"{'Minimum focus distance': '0.98 m/3.22 ft', 'Maximum Magnification ratio (x)': '0.35', 'Filter Diameter (mm)': '77', 'Weight': '1395 g (Without tripod mount) 49.3 oz (Without tripod mount）'}","['Premium G Master series super-telephoto zoom lens ', 'Linear motor and Direct Drive SSM (DDSSM) for agile, highly precise focus lens control ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Circular 9-blade aperture for beautiful defocus effects ', 'Dust and moisture resistant design.2 ']",E-mount,Lenses
SEL1018,"Rs. 76,4901",4.5,31.0,"['https://www.sony.co.in/image/9e40898f01166940df83c9dc02078b74?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/501ee1fa6fed3fbefafda32a117ecfd1?fmt=png-alpha&wid=676&hei=400']",E 10–18 mm F4 OSS,https://www.sony.co.in/electronics/camera-lenses/sel1018/buy,"{'Minimum focus distance': '0.25 m (0.82 ft)', 'Maximum Magnification ratio (x)': '0.1x', 'Filter Diameter (mm)': '62 mm', 'Weight': '225 g (8 oz)'}","['Go super wide with minimum focal length of 10 mm ', 'Constant F4 max aperture for noise-free low-light shots ', 'Super ED glass minimises distortion for sharper images ', 'Optical SteadyShot™ keeps hand-held shots blur-free ', '35 mm equivalent focal length: 15–27mm ']",E-mount,Lenses
SEL70200G2,"Rs. 170,9901",5.0,16.0,"['https://www.sony.co.in/image/a10c42de628d463f58c9acdfebfc7eae?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/1c013acc318667b373b028e9d81dd56d?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/ae2395548a6af3bef224c3f4be7b4ff1?fmt=png-alpha&wid=676&hei=400', None, None, None]",FE 70-200mm F4 Macro G OSS Ⅱ,https://www.sony.co.in/electronics/e-mount-lenses/sel70200g2/buy,"{'Minimum focus distance': '0.26–0.42 m (0.86–1.38 ft)', 'Maximum Magnification ratio (x)': '0.5', 'Filter Diameter (mm)': '72', 'Weight': '794 g (28.1 oz)4'}","['High performance G Series telephoto zoom lens ', 'AA elements and ED glass for high resolution throughout the image area ', 'Exquisite full-frame bokeh enhanced by a circular nine-blade aperture mechanism ', 'Four high-thrust XD linear motors for fast and accurate focus drive ', 'Intuitive controls, including physical switches for focus and OSS modes and settings ']",E-mount,Lenses
SEL1635GM2,"Rs. 238,9901",4.5,7.0,"['https://www.sony.co.in/image/9b4a7bb494288666bde1a93460e3f99f?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/492283825ba91fa17f290bfcad9db801?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/f4bbeda68c33644df67a432d0dddb90b?fmt=png-alpha&wid=676&hei=400', None, None, None, None, None]",FE 16–35 mm F2.8 GM II,https://www.sony.co.in/electronics/e-mount-lenses/sel1635gm2/buy,"{'Minimum focus distance': '0.22 (W, T) m (0.73 (W, T) ft)', 'Maximum Magnification ratio (x)': '0.32', 'Filter Diameter (mm)': '82', 'Weight': '547 g (19.3 oz)'}","['Premium G Master series wide-angle zoom lens ', 'XA and ED glass elements for high resolution throughout the image area ', 'Nano AR Coating II to suppress flare and ghosting ', 'Four XD Linear Motors offer excellent response and low vibration for fast, precise, quiet AF ', 'Iris lock, focus hold buttons and other features support professional shooting needs ']",E-mount,Lenses
SEL70200G,"Rs. 112,4901",5.0,89.0,"['https://www.sony.co.in/image/077bf0ed281f8c6f3f8c4fd46d614cfd?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/bc1e355407f353f9de15c476c6fef160?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/edec10f178a9df878113468357840859?fmt=png-alpha&wid=676&hei=400']",FE 70–200 mm F4 G OSS,https://www.sony.co.in/electronics/camera-lenses/sel70200g/buy,"{'Minimum focus distance': '1–1.5 m (AF)/1–1.35 m (MF) (3.28–4.93 ft [AF]/3.28–4.43 ft [MF])', 'Maximum Magnification ratio (x)': '0.13x', 'Filter Diameter (mm)': '72 mm', 'Weight': '840 g (29.7 oz) (Without tripod mount)'}","['High performance G Series telephoto zoom lens ', 'Built-in Optical SteadyShot™ image stabilisation ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Circular 9-blade aperture for beautiful defocus effects ', 'Dust and moisture resistant design ']",E-mount,Lenses
SEL100F28GM,"Rs. 140,9901",4.5,4.0,"['https://www.sony.co.in/image/4735b0e2bb7d2257c6a63231f5f8ba70?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/7c4582b738b987a83dc15ec2fee41d05?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/84446b42ec2c57c88f3669b6257ac494?fmt=png-alpha&wid=676&hei=400']",FE 100mm F2.8 STF GM OSS,https://www.sony.co.in/electronics/camera-lenses/sel100f28gm/buy,"{'Minimum focus distance': '0.85 m/2.79 ft (at ""0.85 m–∞"" position); 0.57 m/1.87 ft (at ""0.57 m–1.0 m"" position)', 'Maximum Magnification ratio (x)': '0.14 (at ""0.85 m–∞"" position); 0.25 (at ""0.57 m–1.0 m"" position)', 'Filter Diameter (mm)': '72', 'Weight': '700 g (24.7 oz)'}","['Premium G Master series Mid-range telephoto prime ', 'Optical apodization (APD) element for magnificent bokeh ', 'Nano AR coating for outstanding clarity ', 'Direct Drive SSM (DDSSM) for quiet, highly precise focus lens control ', 'Dust and moisture-resistant design4 ']",E-mount,Lenses
SEL18200LE,"Rs. 77,4901",4.5,28.0,['https://www.sony.co.in/image/a2eb78be1077f22896d93249f2c459d6?fmt=png-alpha&wid=676&hei=400'],E 18–200 mm F3.5–6.3 OSS LE,https://www.sony.co.in/electronics/camera-lenses/sel18200le/buy,"{'Minimum focus distance': '0.5m (1.64ft)', 'Maximum Magnification ratio (x)': '0.27x', 'Filter Diameter (mm)': '62 mm', 'Weight': '460 g (16.3 oz) (Without tripod mount)'}","['Telephoto zoom lens with 11x magnification range ', 'Wide zoom range for all-purpose shooting ', 'Optical SteadyShot™ keeps hand-held shots blur-free ', 'High performance optics with 4 aspherical surfaces ', '35 mm equivalent focal length: 27–300 mm ']",E-mount,Lenses
SEL24105G,"Rs. 120,9901",4.5,175.0,"['https://www.sony.co.in/image/f4771c5d7b761e85003a5f2424c1a03d?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/b16309c8de3b839b0d9b1f241d97a39d?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/1008702fe56dea64957fc98c8618a885?fmt=png-alpha&wid=676&hei=400', None]",FE 24–105 mm F4 G OSS Lens,https://www.sony.co.in/electronics/camera-lenses/sel24105g/buy,"{'Minimum focus distance': '0.38 m (1.25 ft)', 'Maximum Magnification ratio (x)': '0.31', 'Filter Diameter (mm)': '77', 'Weight': '663 g (23.4 oz)'}","['G Lens standard zoom lens ', 'Two AA (advanced aspherical) elements for outstanding resolution ', 'Sony Nano AR Coating to eliminate flare and ghosting ', 'Direct Drive SSM for quiet, highly precise focus lens control ', 'Dust and moisture-resistant design2 ']",E-mount,Lenses
