name,price,rating,review_count,images,highlights,specification,features,sub_category,category,description,model,combo
BC-QZ1,"Rs. 6,7901",4.5,5,"['https://www.sony.co.in/image/15b7baa321662e4e6919c9ec9c4f451d?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/64e3c9ce2aad10ba1da3ec2f6a9a247a?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/15b7baa321662e4e6919c9ec9c4f451d?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None]",Battery Charger for NP-FZ100,"['Dimensions (W × H × D): Approx. 70 x 33 x 95 mm (2.88 x 1.31 x 3.75) ', 'Weight: Approx. 125 g (4.4 oz) ', 'Power: AC, 100–240 V, 50 Hz/60 Hz ', 'Charging time: Approx. 150 minutes ']",[],['Batteries & Chargers'],Camera Accessories,,,
BC-TRV,"Rs. 3,9901",5,1,['https://www.sony.co.in/image/9e32670c325711cf6e163a5605936ce0?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9'],AC Adaptor/Charger,[],"[‘Compact, portable design takes up less space when you're travelling’, ‘Multi-voltage operation, ideal for worldwide travel (AC 100-240 V, 50 Hz / 60 Hz)’, ‘Charging status indicated by 3-step LED — takes the guesswork out of knowing how much power you've got available’, ‘Compatible with V / H / P battery series’]",['Batteries & Chargers'],Camera Accessories,,,
BC-TRW,"Rs. 3,9901",5,4,"['https://www.sony.co.in/image/5f296a1ab4830793071075e02c91a5f2?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/3ef35de55af53b4aa7b178c2d94ff55a?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/b89bb9bf9203c52931936e848382e0cb?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None]",BC-TRW Battery Charger,"['Battery charger for W-series battery ', 'Charge via AC power supply ', 'Compatible with W-series battery cameras ', 'Check the power status level while charging ', 'Compatible with W Battery Series ']",[],['Batteries & Chargers'],Camera Accessories,,,
BC-TRX,"Rs. 3,6901",4.5,4,"['https://www.sony.co.in/image/379bcf63e3654c5bc759eb3173ac09e8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/2c8f77fe7de5e12825d572343d014a46?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/379bcf63e3654c5bc759eb3173ac09e8?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None]",BC-TRX Cyber-shot™ Battery Charger,[],[],['Batteries & Chargers'],Camera Accessories,,,
BC-ZD1,,,0,"['https://www.sony.co.in/image/993f47892c0315f28affd68c37c0a5f9?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/db10621bdba13b49b9b61c4b62711b70?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/d6fd13d692b2358dc5e1a562d807f813?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None]",BC-ZD1,"['Terminal: USB Type-C® x 1 ', 'Dimensions (W x H x D): Approx. 84.5 x 29.2 x 70.0 mm (3.38 x 1.19 x 2.88) ', 'Weight: Approx. 149 g (5.3 oz) (not including battery) ', 'Charging time for two batteries: Approx. 155 minutes2 (full charge3) ']",[],['Batteries & Chargers'],Camera Accessories,,,
DC-C1,,,0,"['https://www.sony.co.in/image/339eeee6995b784eef4904ad71d0aa1e?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/efe1e6b97af09fdc02da110fb33f7553?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/72661e25f50965ba316ee4dcb1049f50?fmt=pjpeg&wid=1014&hei=396&bgcolor=F1F5F9&bgc=F1F5F9', None, None, None, None, None, None, None, None, None]",DC-C1,"['Dimensions (W x H x D): Approx. 52.0 mm x 70.6 mm x 32.0 mm (2.13 x 2.88 x 1.31) ', 'Weight: 184 g (7.0 oz) ']",[],['Batteries & Chargers'],Camera Accessories,,,
DSC-RX100M3,"Rs. 56,9902",4.5,513,"['https://m.media-amazon.com/images/I/51VKXpCjaOL._SL1000_.jpg', 'https://m.media-amazon.com/images/I/513gmNf4pZL._SL1000_.jpg', 'https://m.media-amazon.com/images/I/51IUB+BksQL._SL1000_.jpg']",RX100 III Advanced Camera with 1.0-type sensor,"{'Sensor type': '1.0-type (13.2 mm x 8.8 mm) Exmor R CMOS sensor, aspect ratio 3:2', 'Number of Pixels (Effective)': 'Approx. 20.1 MP', 'ISO Sensitivity (Still Image)(Recommended Exposure Index)': 'Auto (ISO125-12800, selectable with upper/lower limit), 125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800 (Extendable to ISO80/100), Multi-Frame NR: Auto (ISO125-12800), 200/400/800/1600/3200/6400/12800/2560011 12', 'ISO Sensitivity (Movie)': 'Auto: (ISO125Level-ISO12800Level, selectable with upper/lower limit), 125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800'}","['20.1 MP (effective) 1.0-type Exmor® R CMOS sensor ', 'BIONZ X™ engine for superb detail and noise reduction ', 'ZEISS® Vario-Sonnar® T* 24-70 mm lens with F1.8-2.8 aperture ', 'Built-in OLED Tru-Finder™ electronic viewfinder (EVF) ', '180º - tiltable LCD for selfies ']",['Premium Compact'],Compact Cameras,,,
DSC-RX100M5A,"Rs. 80,4901",4.5,51,"['https://m.media-amazon.com/images/I/715ypB609wL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/61nWwXiYsvL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/712U-KoXltL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71VIajK-8hL._SL1500_.jpg']",RX100 V The premium 1.0-type sensor compact camera with superior AF performance,"{'Sensor type': '1.0-type (13.2 mm x 8.8 mm) Exmor® RS CMOS sensor, aspect ratio 3:2', 'Number of Pixels (Effective)': 'Approx. 20.1 MP', 'ISO Sensitivity (Still Image)(Recommended Exposure Index)': 'Auto (ISO125-12800, selectable with upper/lower limit),125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800 (Extendable to ISO80/100), Multi-Frame NR: Auto (ISO125-12800), 200/400/800/1600/3200/6400/12800/256001819', 'ISO Sensitivity (Movie)': 'Auto: (ISO125Level-ISO12800Level, selectable with upper/lower limit), 125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800'}","['0.05-sec.2 AF response with 315 focal-plane phase-detection AF points ', 'Up to 24fps3 continuous shooting with AF/AE for up to 233 shots7 ', 'Approx. 20.1 effective megapixel 13.2 x 8.8 mm (1.0-type) stacked CMOS sensor with DRAM chip ', 'ZEISS® Vario-Sonnar® T* Lens ', 'Up to 960fps11 super slow motion6 ']",['Premium Compact'],Compact Cameras,,,
DSC-RX100M7,"Rs. 102,9901",4.5,150,"['https://m.media-amazon.com/images/I/61vs0A5arcL._SL1250_.jpg', 'https://m.media-amazon.com/images/I/61wUTp9XLGL._SL1250_.jpg', 'https://m.media-amazon.com/images/I/61bS0lYIycL._SL1500_.jpg']","RX100 VII Compact Camera, Unrivalled AF","{'Sensor type': '1.0-type (13.2 mm x 8.8 mm) Exmor® RS CMOS sensor, aspect ratio 3:2', 'Number of Pixels (Effective)': 'Approx. 20.1 MP', 'ISO Sensitivity (Still Image)(Recommended Exposure Index)': 'Auto (ISO100–12,800, selectable with upper/lower limit), 100/125/160/200/250/320/400/500/640/800/1,000/1,250/1,600/2,000/2,500/3,200/4,000/5,000/6,400/8,000/10,000/12,800 (Extendable to ISO64/80), Multi-Frame NR: Auto (ISO100–12,800), 100/200/400/800/1,600/3,200/6,400/12,800/25,60022'}","['ZEISS® Vario-Sonnar T* 24–200 mm2 F2.8–4.5 high-resolution zoom lens ', '0.02-second3 AF, 357 focal-plane phase-detection and 425 contrast-detection AF points ', 'Real-time Tracking and Real-time Eye AF ', 'Up to 20fps4 Blackout-free Shooting5 with AF/AE tracking ', '4K HDR (HLG) recording1314, mic input, 180-degree flip touchscreen ']",['Premium Compact'],Compact Cameras,,,
DSC-RX10M4,"Rs. 131,4901",4.5,471,"['https://m.media-amazon.com/images/I/712EVqeC0AL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71Bih712DeL._SL1500_.jpg', 'https://m.media-amazon.com/images/I/71LLlOvFtvL._SL1500_.jpg']",RX10 IV with 0.03 s. AF/25x optical zoom,"{'Sensor type': '1.0-type (13.2 mm x 8.8 mm) Exmor® RS CMOS sensor, aspect ratio 3:2', 'Number of Pixels (Effective)': 'Approx. 20.1 MP', 'ISO Sensitivity (Still Image)(Recommended Exposure Index)': 'Auto (ISO100–12800, selectable with upper/lower limit),100/125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800 (Extendable to ISO64/80), Multi-Frame NR: Auto (ISO100–12800),100/200/400/800/1600/3200/6400/12800/25600', 'ISO Sensitivity (Movie)': 'Auto: (ISO100–ISO12800 Level, selectable with upper/lower limit), 100/125/160/200/250/320/400/500/640/800/1000/1250/1600/2000/2500/3200/4000/5000/6400/8000/10000/12800'}","['ZEISS® Vario-Sonnar® T* 24–600 mm8 F2.4–4 large-aperture high-resolution high-speed zoom lens ', 'Approx. 20.1 effective megapixel 13.2 x 8.8 mm (1.0-type) stacked phase-detection AF Exmor RS™ CMOS sensor with DRAM chip ', 'BIONZ X™ image processing engine for superior detail reproduction and noise reduction ', '0.03 s3 AF response with 315 focal-plane phase-detection AF points ', 'Up to 24fps5 continuous shooting with AF/AE for up to 2496 shots ']",['Premium Compact'],Compact Cameras,,,
