name,price,rating,review_count,images,features,sub_category,category
MDR-M1 Closed Monitor Headphones,"Rs.39,990",5.0,1.0,"['/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-01.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-02.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-03.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-04.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-05.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-06.png', '/content/dam/sony/contents/global/audio/headphones/year-2024/mdr-m1/product-image/product-intro-plate/fn-Product-Intro-Plate_D-07.png']","['Studio reference quality for a wide range of audio production workflows', 'Excellent wearing comfort', 'For professional stereo and High-Resolution Audio monitoring', 'Carefully tuned closed acoustic structure', 'Exclusively developed driver units', 'Detachable cables for professional functionality and reliability']",Headband,Headphones
MDR-MV1 Open Back Studio Monitor Headphones,"Rs.59,990",,,"['/content/dam/sony/contents/global/audio/headphones/year2022/omh/product-intro-plate/OMH_Product-Intro-1_D.jpg', 'https://sony.scene7.com/is/image/sonyglobalsolutions/OMH_Product-Intro-2_D?$productIntroPlatedesktop$&fmt=png-alpha']","['Studio monitor sound for mixing and mastering', 'Excellent wearing comfort', 'Spatial sound creation', 'Stereo sound creation with High-Resolution Audio capability', 'Carefully tuned open-back acoustic structure', 'Specially developed HD driver units', 'Detachable cables for professional use']",Headband,Headphones
MDR-7506 Professional Headphones,,,,"['https://www.sony.co.in/image/53803057a3619296f99d20a4ab4adf1c?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/b9777f6b2d53204486ee340f3e258b02?fmt=png-alpha&wid=676&hei=400']","['40 mm neodymium driver units ', '10–20 kHz frequency range ', 'Tangle-free 3 m cord ', '106 dB/W/m ', '230 g design ']",Headband,Headphones
WH-1000XM5 Wireless Noise Cancelling Headphones,"Rs. 34,9902",4.5,823.0,"['https://www.sony.co.in/image/4e4154f981a0c362a20d5a3eaea6605e?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/76cc571af39ddbe23d060c00ac7d7a8b?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/cb6bff7884c779ebd2c5a3f1f297daec?fmt=png-alpha&wid=676&hei=400', None, None, None, None, None, None, None]","['HD Noise Cancelling Processor QN1, Integrated Processor V1 and multiple microphones for distraction-free listening ', 'Fully automatic Personal Noise Cancelling Optimiser and Atmospheric Pressure Optimising ', '30-mm specially designed driver unit for exceptional sound ', 'Superior noise-free calls with 2 x 2 beamforming microphones and noise reduction system (using AI) ', 'Super comfortable lightweight design in ""Soft fit leather"" ']",Headband,Headphones
WH-1000XM4 Wireless Noise Cancelling Headphones,"Rs. 29,9901",4.5,1967.0,"['https://www.sony.co.in/image/c837e2d6c39f74d4dd2338ada3dac203?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/cee14c179dfe1451ff9fc70f69ed9bef?fmt=png-alpha&wid=676&hei=400', 'https://www.sony.co.in/image/4c008966864e140d66a5f27d2e946de4?fmt=png-alpha&wid=676&hei=400', None, None, None]","['HD Noise-Cancelling Processor QN1, Bluetooth Audio SoC and a dual noise sensor let you listen without distractions ', 'Personal noise-cancelling optimiser and atmospheric pressure optimising ', 'High-quality audio with DSEE Extreme™ and LDAC ', 'Adaptive Sound Control automatically adjusts ambient sound settings to suit your location and behaviour ', 'Wireless freedom with BLUETOOTH® technology ']",Headband,Headphones
WI-C100 Wireless In-ear Headphones,"Rs. 2,7901",4.5,80.0,"['https://www.sony.co.in/image/4e59487a5c5175284a49830878185789?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/342e7c28dc1fb69d0d8625bc98be7236?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/8baa51321847228daa201ffc21b40a0d?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/6f599d73dadce7d14956ee6ad79fa56b?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/2ef6a97354fc1772d14367d1802879b3?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/9530e535e980c257f15aa1b8c4f13b55?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/c2741ec3a94c0870832d6d2075572cab?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/f9ac02c6d8135bfeebf2ff8a0d2d0d6f?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/1b3ce58d5a17a8f2a23db00c6180753c?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/2644c363e5c3b666705e5b78763a34c9?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/818da505ad7a40db75482e6d48d2c874?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/d488b23eb275b299821d28dbf3ec944c?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']","['Up to 25 hours of battery life ', ""DSEE™ restores frequencies lost in compression to produce high-quality sound that's closer to the original recording "", 'Fine-tune your sound using the Sony | Headphones Connect app ', 'Splash-proof and sweat-proof with an IPX4 rating ', 'Easy hands-free calling and voice assistant ']",In-Ear,Headphones
MDR-EX14AP / 15AP In-ear Headphones,"Rs. 1,2901",3.5,19.0,"['https://www.sony.co.in/image/907417c102de80c45058b7d9f0f6584e?fmt=pjpeg&wid=110&bgcolor=FFFFFF&bgc=FFFFFF', 'https://www.sony.co.in/image/d083c8e3ec15ff02969e28d305dbb870?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/b3f5ea3cd3ac7f06787c94b465596767?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/33e4a103552e7f50d0090318fb6c8ce4?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9', 'https://www.sony.co.in/image/80ba67b3ed333041dc45c76092dad536?fmt=pjpeg&wid=64&bgcolor=F1F5F9&bgc=F1F5F9']","['Comfortable, secure-fitting silicone earbuds ', 'Lightweight for ultimate music mobility ', 'Choice of colours to suit your style ', '9 mm neodymium drivers for powerful, balanced sound ', '8 Hz–22 kHz frequency range ']",In-Ear,Headphones
LinkBuds Open,"Rs.26,990",4.4,28.0,[],[],Truly Wireless,Headphones
WF-C510,"Rs.8,990",4.7,50.0,"['https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-1-D-9?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-2-D-5?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-3-D-4?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-4-D-4?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-5-D-3?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-6-D-3?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-7-D-2?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-8-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-9-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-10-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-11-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-12-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-13-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-14-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-15-D-1?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/Product-Intro-16-D-1?$productIntroPlatedesktop$&fmt=png-alpha']","['Compact and lightweight for comfort all day long', '11 hours of battery life, with another 11 hours in the charging case', 'Multipoint Connection lets you pair to two Bluetooth® devices simultaneously', 'Stay present with Ambient Sound Mode', 'Great sound quality and a range of customisable EQ presets']",Truly Wireless,Headphones
WF-C700N,"Rs.12,990",4.1,199.0,"['https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_1_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_2_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_3_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_4_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_5_D?$productIntroPlatedesktop$&fmt=png-alpha', 'https://sony.scene7.com/is/image/sonyglobalsolutions/WF-C700N_Product-Intro_21_D?$productIntroPlatedesktop$&fmt=png-alpha']","['Digital noise cancelling and Ambient Sound Mode let you control what you hear', 'Compact and lightweight for a comfortable fit', 'DSEE™ restores high-frequency sound lost in compression', 'Fine-tune your sound using the \nSony | Headphones Connect app', 'Clear hands-free calls with wind noise reduction structure.']",Truly Wireless,Headphones
